Unique_study_nr;Moderator;First_author;Year;Paper_nr;Usability;Coder;Date_coded;int_T1;int_svar_T1;ostr_main_T1;ostr_main_svar_T1;mod_main_T1;mod_main_svar_T1;ostr_nomod_simple_main_T1;ostr_nomod_simple_main_svar_T1;ostr_mod_simple_main_T1;ostr_mod_simple_main_svar_T1;mod_ostr_simple_main_T1;mod_ostr_simple_main_svar_T1;mod_incl_simple_main_T1;mod_incl_simple_main_svar_T1;int_T2;int_svar_T2;ostr_main_T2;ostr_main_svar_T2;mod_main_T2;mod_main_svar_T2;ostr_nomod_simple_main_T2;ostr_nomod_simple_main_svar_T2;ostr_mod_simple_main_T2;ostr_mod_simple_main_svar_T2;mod_ostr_simple_main_T2;mod_ostr_simple_main_svar_T2;mod_incl_simple_main_T2;mod_incl_simple_main_svar_T2;Country;Incentive;SampleRestrict;PropSex;N;AgeM;AgeSD;n11;n12;n21;n22;SubjectDesign;ConditionDesign;Dichotomized;ConditionAssignment;Part_Quasi;GameType;PlayersGame;ObjectExcl;PlayerMatching;Excluder;ExclusionSess;FormExcluded;CrossCutVar;ModType;OrderCyberCross;ParticSelect;RandomDV;xReceive;ThrowLast;SelFinal1;NeedScale;Dvfirst;Needs1;Expect1;Reliability1;M11_1;SD11_1;M12_1;SD12_1;M21_1;SD21_1;M22_1;SD22_1;SelFinal2;Dvlast;Needs2;Expect2;Reliability2;M11_2;SD11_2;M12_2;SD12_2;M21_2;SD21_2;M22_2;SD22_2;Nr_of_measures;Item_number;Add_time;Time_est;H1_incl;H2_incl;Model_immediate;Paper_immediate;Model_delayed;Paper_delayed;Imm_Need_thr_aanwezig;Prec_mancheck;Prec_mancheck
34;;Salvy;2009;41;Y;CH;20130204;NA;NA;-1.462015126;0.049214769;NA;NA;-1.476942771;0.048840025;NA;NA;NA;NA;NA;NA;NA;NA;-1.300496723;0.047048766;NA;NA;-1.313775213;0.046629566;NA;NA;NA;NA;NA;NA;1;3;0;0.490384615;103;13.58;0.83;;51;;52;1;1;0;1;0;1;3;1;1;1;1;1;0;0;NA;0;0;2;30;;1;1;2;-1;NA;;;8.18;3.39;;;4.08;1.94;;1;0;-1;;;;20.33;6.9;;;12.82;4.13;6;5;0;30;1;0;;;;;;;0
35;;Sacco;2011;39;Y;CH;20130204;NA;NA;-2.345909378;0.132385204;NA;NA;-2.397049057;0.13226685;NA;NA;NA;NA;NA;NA;NA;NA;-1.415865681;0.098085055;NA;NA;-1.446730861;0.096454948;NA;NA;NA;NA;NA;NA;1;1;0;0.285714286;51;NA;NA;;25.5;;25.5;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;1;1;1;1;1;0.93;;;1.9;0.42;;;3.19;0.62;;1;0;-1;;;;3.02;0.91;;;1.82;0.71;6;28;0;168;1;0;;;;;;;0
36;;Sacco;2011;39;Y;CH;20130204;NA;NA;-2.15448791;0.2888292;NA;NA;-2.283824195;0.286709804;NA;NA;NA;NA;NA;NA;NA;NA;-1.381131431;0.226686152;NA;NA;-1.464042274;0.216881777;NA;NA;NA;NA;NA;NA;1;1;0;0.818181818;21;NA;NA;;10;;12;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;1;1;1;1;1;0.89;;;2.31;0.73;;;3.64;0.36;;1;0;-1;;;;2.8;0.79;;;1.65;0.72;6;28;0;168;1;0;;;;;;;
37;1;Schaafsma;2012;42;Y;CH;20130204;0.086396823;0.0295208;-2.551391784;0.010096937;-0.255660935;0.006085862;-1.415140461;0.019316603;-1.188044743;0.010204196;-0.158420923;0.011482195;-0.093617898;0.012693196;0.328715591;0.025318569;-1.318802155;0.006784186;0.147626543;0.006055606;-0.492928367;0.01590644;-0.824366093;0.009412128;0.219309061;0.011512298;0.097713847;0.012694355;2;0;1;0.506944444;720;16.8;1.1;248;134;214;124;1;2;0;1;0;1;3;1;0;1;1;1;2;-1;0;0;0;2;24;;3;1;0;1;;4.004;1.43277;3.7811;1.34959;5.6103;1.24678;5.5;1.04072;;4;2;-1;;3.5205;1.30622;3.2324;1.32001;2.5587;0.97547;2.6544;0.98016;5;30;0;180;1;1;1;1;1;1;1;0;0
39;1;Staebler;2011;46;Y;CH;20130204;0.503716614;0.23350745;-0.587669383;0.061413836;1.420201009;0.073705127;-0.793803715;0.124623509;-0.033759947;0.108883942;0.387189518;0.117347621;1.168998091;0.128389896;0.415388881;0.227289655;-0.529417202;0.06093536;0.808045402;0.063675469;-0.054552647;0.115121261;-0.480678087;0.112168394;1.218330714;0.137566015;-0.681611883;0.115504728;2;2;0;0;68;23.61720588;8.653544581;17;16;18;17;1;2;0;1;1;1;3;1;0;1;1;1;3;-1;-1;0;0;4;30;;NA;2;0;-1;NA;3.87;3.96;2.56;2.39;3.75;2.93;1;1.32;;1;0;1;;1.55;0.66;2.96;1.47;2.13;1.51;3.03;1;3;14;0;84;1;1;1;1;0;0;0;0;0
40;;Bernstein;2012;6;Y;CH;20130308;NA;NA;-0.986302844;0.175937124;NA;NA;-1.03509192;0.166993624;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0.490196078;25.5;NA;NA;;12.75;;12.75;1;5;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;1;2;NA;1;7;1;1;1;0.95;;;3.92;1.61;;;5.35;0.98;;;;;;;;;;;;;;6;28;0;168;0;0;;;;;;;0
41;1;Van Beest;2011;48;Y;CH;20130205;-0.399712344;0.241233715;-2.162827067;0.07286104;0.739194061;0.049117287;-0.935578355;0.09853443;-2.17201503;0.142699285;1.557038158;0.116339728;0.12293319;0.088647139;-0.437816181;0.189087586;-1.151924127;0.053603041;0.520173598;0.047532072;-0.582445108;0.092372768;-0.846758886;0.096714818;0.862767278;0.097029378;-0.012664709;0.088475275;2;2;0;0.16091954;87;20.8;2.15;21.75;21.75;21.75;21.75;1;2;0;1;0;1;3;1;0;1;1;2;1;1;0;0;0;2;30;1;3;1;1;1;0.95;3.41;0.67;2.37;0.64;5.02;0.78;4.71;3.41;;1;0;1;0.89;4.3;1.09;3.31;1.16;5.14;0.84;5.18;4.3;5;26;0;156;1;1;1;1;0;0;1;0;0
42;1;Van Beest;2011;48;Y;CH;20130205;-0.757978492;0.222701177;-4.751668075;0.125400599;1.057845233;0.03751469;-2.637229573;0.130246932;-2.052685061;0.092454245;0.931770865;0.067723598;0.143937453;0.068533377;-0.112265174;0.134392613;-1.123371457;0.038038361;0.229595593;0.033144517;-0.499591549;0.071427738;-0.616358535;0.062964875;-0.033611631;0.060949636;-0.17619834;0.06862241;2;2;0;0.202185792;183;20.95;2.4;32;32;33;25;1;5;0;1;0;1;3;1;0;1;1;2;1;1;0;0;0;1;30;1;3;1;1;1;0.92;3.2057;0.99483;2.3646;0.77418;5.0556;0.77523;4.9167;1.14514;;4;0;-1;;17.8834;13.14554;17.4516;12.20811;11.9603;3.1536;12.6048;4.13444;6;31;0;186;1;1;1;1;1;1;1;0;0
43;1;Van Beest;2006;49;Y;CH;20130205;-0.0972146;0.137514259;-2.430364992;0.0515062;0.658898953;0.031237585;-1.289168883;0.070173022;-1.131223034;0.067341238;0.43110148;0.059238889;0.250647746;0.058327599;-0.125265659;0.12090439;-1.181076216;0.034796078;1.425814128;0.037159059;-0.654443384;0.061034798;-0.520570369;0.059869593;0.638920573;0.060886082;0.53343121;0.059970003;2;2;0;0.207407407;135;20.9;2.33;33.75;33.75;33.75;33.75;1;2;0;1;0;1;3;1;0;1;1;2;1;1;0;0;0;2;30;1;3;1;1;1;0.92;3.2;0.86;2.85;0.74;4.28;1.02;4.02;1.03;;1;0;1;0.88;4.66;1.22;3.93;1.03;5.25;1.01;4.66;1.17;5;26;0;156;1;1;1;1;0;0;1;0;0
44;1;Van Beest;2006;49;Y;CH;20130205;-0.085734383;0.221453485;-4.298966914;0.11892717;0.624636218;0.037680406;-2.111496689;0.109820956;-2.158728045;0.111632529;0.350104588;0.07087624;0.269300301;0.070426684;-0.189399603;0.1397105;0.013528543;0.035928966;0.220459842;0.036146419;0.093551895;0.069853893;-0.09515306;0.069856607;-0.035012926;0.069786294;-0.148523147;0.069973419;2;2;0;0.371257485;111.3333333;20.93;2.95;27.83333333;27.83333333;27.83333333;27.83333333;1;3;0;1;0;1;3;1;0;1;1;2;1;1;0;0;0;2;30;1;3;1;1;1;0.92;3.15;0.77;2.86;0.86;4.87;0.8;4.65;0.81;;5;0;-1;;1.73;1.21;1.68;1.58;1.6;1.47;1.83;1.58;7;29;0;174;1;1;1;1;1;1;1;0;0
45;1;Weik;2010;50;Y;CH;20130205;-0.42635543;0.2352636;-0.042283183;0.061566783;-1.381250649;0.076228825;0.156393673;0.118716722;-0.311555272;0.116546878;-0.443293286;0.121405003;-0.951901479;0.128805207;0.661713873;0.239044894;0.085382435;0.061609108;-1.881601649;0.088787067;-0.22491888;0.119124996;0.565407849;0.119919898;-0.76364491;0.127446325;-0.435384653;0.117948288;2;2;0;0.507692308;65;NA;NA;16;16;17;16;1;3;0;1;1;1;4;1;0;1;1;1;3;-1;-1;0;0;3;60;;NA;2;0;-1;NA;8.55;4;11.26;7.4;7.22;4.3;12.35;6.1;;2;0;-1;;7.87;3.6;16;14.2;11.02;6.7;13.57;4.4;2;;75;4500;1;1;1;1;0;0;0;0;0
46;1;Wesselmann;2009;51;Y;CH;20130205;-1.299616366;0.244921699;-2.768747911;0.095524177;-0.197767708;0.049018976;-0.712413008;0.099808947;-2.054858721;0.145112752;0.526940319;0.0970057;-0.768129089;0.100814922;-0.198209586;0.284123449;-4.013744109;0.14701306;-0.819323361;0.052873724;-2.030009246;0.143874864;-1.95539833;0.140248585;-0.385676624;0.09543351;-0.363715093;0.095232805;1;1;0;0.453488372;82;NA;NA;20.5;20.5;20.5;20.5;1;2;0;1;0;1;3;2;0;1;1;1;2;-1;0;0;0;2;30;1;2;1;1;1;0.88;1.95;0.73;2.34;0.72;3.39;0.64;2.86;0.71;;6;1;1;0.93;1.54;0.59;1.33;0.47;3.24;1.05;2.87;0.94;6;24;0;144;1;1;1;1;0;0;1;0;0
47;1;Wirth;2009;55;Y;CH;20130205;0.050130682;0.173183335;-4.862676181;0.099306338;0.150392047;0.025175579;-2.286910948;0.082039562;-2.584679088;0.091143773;0.059214132;0.049237541;0.087809994;0.049263927;0.460052977;0.112069734;-2.019121397;0.037898069;-0.233943184;0.025276348;-0.757168317;0.052813676;-1.26482811;0.059256058;0.12033637;0.049306418;0.394497551;0.050192281;1;1;0;0.557;159.3333333;20;2.72;39.83333333;39.83333333;39.83333333;39.83333333;1;3;0;1;0;1;3;1;1;1;1;1;2;-1;0;0;0;1;30;1;2;1;1;1;0.96;1.79;0.46;1.82;0.54;3.23;0.63;3.29;0.72;;1;0;-1;0.87;2.37;0.91;2.26;0.9;1.4;0.57;1.65;0.68;13;63;1;438;1;1;1;1;1;1;1;0;
48;1;Zadro;2004;57;Y;CH;20130205;-0.105099371;0.322562743;-3.047881769;0.14052446;0.210198743;0.065142108;-1.626836845;0.156028558;-1.380585516;0.166534185;0.132455081;0.140597809;0.060972001;0.108920768;-1.118472438;0.277253442;-1.491296584;0.083543671;-0.315298114;0.065587506;-0.187816505;0.116463057;-1.254143528;0.160790386;-0.579495863;0.146491719;-0.496049008;0.112382869;1;1;0;0.322580645;62;19.9;2.7;12;15;17;18;1;2;0;1;0;1;3;1;0;NA;2;1;2;1;0;0;0;2;40;;2;1;2;1;0.74;3.7;2.3;3.4;2.1;6.5;1.7;6.4;1.5;;1;0;-1;;3.3;2.5;2.1;1.5;1.2;0.39;1.8;1.6;7;22;0;132;1;1;1;1;0;0;1;0;
49;1;Zadro;2004;57;Y;CH;20130205;-0.287678346;0.275744344;-3.472221436;0.130244618;-0.647037998;0.054675375;-1.748120959;0.141125888;-1.684279782;0.134618456;-0.189975191;0.1013912;-0.436140809;0.100687949;-0.697519417;0.212918425;-1.348714711;0.063768707;-0.694991597;0.055093265;-0.333645123;0.102381048;-0.979016933;0.110537376;-0.548833705;0.104879724;-0.080820014;0.098332988;1;1;0;0.38961039;77;19.6;1.9;20;18;19;20;1;4;0;1;0;1;3;1;0;1;1;1;2;1;-1;0;0;2;40;;2;1;2;1;0.71;2.835;1.345362405;3.111111111;1.50124948;5.281818182;1.497448811;6;1.711886549;;1;0;-1;;3.585;2.434930982;2.383333333;1.754750695;1.626315789;1.272043285;1.76;1.888819443;8;22;0;132;1;1;1;1;0;0;1;0;
50;1;Stillman;2009;76;Y;CH;20130207;0.573056296;0.223755188;-0.817517985;0.054208367;0.341293916;0.056632971;-0.740683317;0.150432391;-0.117110126;0.073322797;-0.108754582;0.115382233;0.477907479;0.103666355;-1.185943981;0.237020744;-1.307579261;0.060717292;-0.020636376;0.055907623;-1.126901257;0.1637897;-0.063158647;0.073231044;-0.72650375;0.121997363;-0.424121417;0.103074689;1;1;0;0.330578512;121;NA;NA;27;12;26;15;1;3;0;1;1;1;3;1;0;1;1;1;3;-1;-1;0;0;2;30;;NA;1;0;1;NA;47.15;6.6;46.42;6.49;47.92;6.34;50.8;5.03;;1;2;-1;0.84;1.3;0.27;1.56;0.49;1.28;0.35;1.15;0.18;2;42;0;252;1;1;0;1;1;0;0;0;
51;;Brown;2009;61;Y;CH;20130211;NA;NA;-0.627133394;0.080704772;NA;NA;-0.640512157;0.07847039;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0.415584416;52;NA;NA;;26;;26;1;5;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;;NA;6;0;1;0.9;;;2.67;0.85;;;3.26;0.96;;;;;;;;;;;;;;1;27;0;162;0;NA;;;;;;;
52;;Zwolinski;2012;59;Y;CH;20130211;NA;NA;-1.969099755;0.106047802;NA;NA;-2.007796779;0.105366466;NA;NA;NA;NA;NA;NA;NA;NA;-0.279367771;0.072125414;NA;NA;-0.284857945;0.070097681;NA;NA;NA;NA;NA;NA;1;0;0;0.375;56;18.46;0.5;;28;;28;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;;1;1;2;1;0.89;;;9.89;3.86;;;18.42;4.49;;1;0;-1;;;;5.16;3.02;;;4.36;2.49;11;60;0;360;1;0;;;;;;;0
53;;Zoller;2010;58;Y;CH;20130211;NA;NA;-0.236594934;0.071210631;NA;NA;-0.241154724;0.069233052;NA;NA;NA;NA;NA;NA;NA;NA;-0.08419212;0.070781781;NA;NA;-0.085814717;0.068787513;NA;NA;NA;NA;NA;NA;2;2;1;0;57;NA;NA;;31;;26;1;1;0;1;0;1;4;1;0;1;1;1;0;0;NA;0;0;3;60;;NA;2;0;-1;NA;;;5.875;4.58;;;4.949;2.52;;2;0;-1;;;;3.564;2.36;;;3.384;1.65;7;0;90;5400;1;0;;;;;;;1
54;;Williams;2002;80;Y;CH;20130211;NA;NA;-0.389401016;0.010450812;NA;NA;-0.390412488;0.010411979;NA;NA;NA;NA;NA;NA;NA;NA;-2.3433993;0.017296821;NA;NA;-2.349486293;0.0172936;NA;NA;NA;NA;NA;NA;NA;0;0;0.33;390;25.2;NA;;195;;195;1;2;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;1;15;;1;1;;-1;;;;4.764;2.218472447;;;3.96;1.878126726;;1;2;1;0.75;;;8.33;4.55;;;19.1;4.6;5;28;0;168;1;0;;;;;;;0
56;;Zhong;2008;125;Y;CH;20130212;NA;NA;-0.682248485;0.162797365;NA;NA;-0.715171818;0.153254982;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;NA;52;NA;NA;;13;;13;1;1;0;1;0;1;4;1;0;1;1;1;0;0;NA;0;0;2;30;;NA;1;0;-1;NA;;;5.17;0.11;;;4.33;1.6;;;;;;;;;;;;;;1;5;0;30;0;NA;;;;;;;0
57;1;Gan;2012;130;Y;CH;20130212;-0.615449836;0.062216518;-0.592008488;0.015936019;0.129225007;0.015530242;-0.535893357;0.027902515;0.014348241;0.034314003;0.410896386;0.031275418;-0.222776225;0.030820431;0.019153398;0.061286057;-0.154595281;0.015312786;-0.001831355;0.01549838;-0.068792846;0.026941804;-0.084637371;0.034344253;-0.029048652;0.030634227;-0.028297609;0.030634063;3;0;0;0.278;72;23.4;4.31;57.5;73.5;57.5;73.5;1;5;0;1;1;1;3;1;0;1;1;1;3;1;-1;0;0;1;30;;NA;1;0;1;NA;249.07;186.0696409;167.745;204.6869798;246.51;167.8852145;299.61;279.1609182;;1;2;1;0.846;30.57;9.550256541;30.84;8.99034204;31.205;4.455434883;31.335;4.651816849;2;10;5;360;1;1;1;1;1;1;0;0;1
58;1;Plaisier;2012;165;Y;CH;20130212;-0.40242077;0.108284192;-0.869748116;0.029531216;1.18129968;0.031529629;-0.360415072;0.053533369;-0.501296311;0.054750822;0.668444182;0.051838066;0.523852635;0.058636295;-0.564467423;0.106780492;-0.200294892;0.027127378;0.220682358;0.027010272;0.234968972;0.053035445;-0.320067317;0.053745046;0.415691356;0.050125452;-0.134282874;0.056778399;2;1;0;0.33557047;149;NA;NA;39;41;35;34;1;2;0;1;1;1;3;1;0;1;1;1;3;-1;-1;0;0;2;30;;NA;1;0;-1;0.92;2.1;1.16;1.49;0.56;1.61;0.69;1.31;0.4;;4;0;-1;0.93;1.79;0.69;1.55;0.43;1.58;0.6;1.65;0.41;3;76;0;456;1;1;0;1;1;1;0;1;
59;1;Knowles;2010;179;Y;CH;20130214;-0.990207609;0.25330239;0.205138685;0.065125159;0.153990919;0.064774569;-0.380117412;0.121056252;0.600280663;0.132246138;0.679265105;0.13780783;-0.365674939;0.117102203;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;1;NA;62;19.23;NA;14;15;16;17;1;2;0;1;0;1;3;1;0;1;1;1;3;1;1;0;0;2;30;;NA;4;0;-1;NA;3.7686;1.48437;4.8133;1.49786;4.86;1.97656;4.0965;2.08538;;;;;;;;;;;;;;1;1;5;306;0;NA;0;0;1;1;0;0;0
60;1;Bernstein;2010;95;Y;CH;20130214;-0.861681126;0.374119201;-4.65307808;0.20334824;-0.896148371;0.061140805;-1.628540418;0.160238356;-3.133704747;0.213880845;-0.021279125;0.113365687;-0.758859503;0.107208357;-1.108218503;0.39600424;-4.895800727;0.219223097;-0.086168113;0.0556911;-1.628142702;0.160218118;-3.40827495;0.235786122;0.499161915;0.117023184;-0.596281646;0.104383794;1;1;1;0.328767123;73;NA;NA;19;15;22;17;1;2;0;1;0;1;3;1;0;1;1;1;2;-1;-1;0;0;2;40;;1;1;2;1;NA;1.45;0.498;1.44;0.401;3.05;0.502;2.54;0.818;;1;2;1;;1.8;0.686;2.17;0.767;3.94;0.547;3.52;0.84;4;16;0;96;1;1;1;1;0;0;1;0;0
61;1;Bernstein;2010;95;Y;CH;20130214;-0.531236189;0.221285385;-5.461871474;0.137096982;-0.437949901;0.029981855;-2.673660899;0.098709536;-2.721368811;0.122575849;0.050400321;0.058628256;-0.450278933;0.05740642;-0.505189917;0.173489878;-4.059347437;0.088713872;-0.201940277;0.02943468;-1.956192343;0.076855758;-2.04672269;0.09663412;0.147727544;0.05877216;-0.41222863;0.057175302;1;1;0;0.485507246;138;NA;NA;31;36;31;40;1;3;0;1;0;1;3;1;0;1;1;1;2;-1;-1;0;0;2;40;;1;1;2;1;NA;2.171935484;0.688268642;2.205833333;0.643492447;4.349677419;0.879770738;3.9975;0.680238929;;1;2;1;;2.97;1.184986541;3.136111111;1.043421296;5.133870968;0.879556236;4.821;0.633471492;4;16;0;96;1;1;1;1;0;0;1;0;
62;1;Carter-Sowell;2010;134;Y;CH;20130311;-0.646057594;0.387210168;-4.930439535;0.228603071;-0.986087907;0.063483745;-2.09264834;0.169779844;-2.783249479;0.217430324;-0.159785783;0.108171652;-0.851106981;0.118061061;-0.631175059;0.23807552;-1.727426477;0.077716997;-0.952084876;0.063017445;-0.559536663;0.112240753;-1.128594246;0.125834767;-0.131446385;0.108054859;-0.896578971;0.119185647;1;1;0;0.716981132;70.66666667;19.47;1.38;17.66666667;17.66666667;17.66666667;17.66666667;1;3;0;1;0;1;3;1;0;1;1;1;3;-1;-1;0;0;1.2;30;1;4;1;1;1;0.96;1.98;0.58;1.88;0.64;3.62;0.57;3.14;0.53;;1;0;1;0.89;3.24;0.73;3.15;0.6;3.95;0.47;3.48;0.55;12;70;1;480;1;1;1;1;0;0;1;1;0
63;;Sacco;2011;39;Y;CH;20130309;NA;NA;-1.686435075;0.139093928;NA;NA;-1.736288546;0.136899219;NA;NA;NA;NA;NA;NA;NA;NA;-1.00563905;0.11559709;NA;NA;-1.035367201;0.111992647;NA;NA;NA;NA;NA;NA;1;1;0;0.282051282;38;NA;NA;;20;;19;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;1;1;1;1;1;0.774769231;;;2.04;0.56;;;3.21;0.75;;1;0;-1;;;;2.64;0.79;;;1.74;0.91;6;28;0;168;1;0;;;;;;;
64;1;Garczynski;2013;186;Y;CH;20130315;-1.29223255;0.328125185;-2.313687399;0.123640272;3.890681475;0.214336957;-1.510398193;0.187290212;-0.619712679;0.140834973;2.688398411;0.272573787;1.215317113;0.166083225;-0.007797522;0.289836656;1.005745212;0.083440032;23.63520666;5.246610954;0.389607212;0.146338118;0.730207834;0.143498539;0.801449305;0.150626286;0.385507968;0.141483609;1;0;0;0.277;83;19.02;1.24;14;13;14;13;1;4;0;1;0;1;3;1;0;1;1;1;3;1;1;0;1;2;30;1;1;1;1;1;0.958;3.85;0.47475;2.2192;0.68755;4.1714;0.52832;3.3538;0.76116;;1;0;1;0.753;82.5714;8.33634;75.0769;9.75074;75.0714;11.33045;67.6923;23.97354;4;40;0;240;0;NA;1;1;0;0;1;0;
65;1;Renneberg;2011;166;Y;CH;20130216;0.468683563;0.294851454;-2.069418195;0.102354097;1.881944769;0.096180968;-1.455248779;0.160975271;-0.701287179;0.133876183;0.698275664;0.133805936;1.153085503;0.147839558;0.512289866;0.286085647;-1.8856627;0.096297698;1.5430505;0.086508374;-1.302137517;0.153938823;-0.622930317;0.132146824;0.305558716;0.127235557;0.876071084;0.13847113;2;2;0;0.133;60;28.915;7.23064082;15;15;15;15;1;2;0;1;1;1;3;1;0;1;1;1;3;-1;-1;0;0;4;30;;NA;1;0;-1;0.93;3.96;1.06974;2.98;1.60278;2.85;1.89171;1.22;0.43421;;1;0;-1;;4.13;1.6;3.53;2.17;2.87;2.27;1.33;0.82;3;14;0;84;1;1;1;1;0;0;0;0;0
66;;Zadro;2006;124;Y;CH;20130216;NA;NA;-3.631220355;0.189158583;NA;NA;-3.702581606;0.191775954;NA;NA;NA;NA;NA;NA;NA;NA;-0.857444401;0.077992954;NA;NA;-0.874295018;0.076198108;NA;NA;NA;NA;NA;NA;2;1;0;NA;56;22.1;8;;28;;28;1;2;1;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;1;1;1;1;1;0.91;;;25.1789;6.48105;;;47.6429;5.43115;1;1;1;1;0.79;;;42.0357;8.71135;;;48.1786;4.47258;8;28;45;2868;1;0;;;;;;;0
68;1;Ijzerman;2012;68;Y;CH;20130216;-1.072253712;0.217233034;-2.412141316;0.080440523;0.906254616;0.051311782;-1.672357221;0.119292499;-0.686572804;0.097940535;0.85740512;0.093857593;-0.100925039;0.094247679;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;0;0.581;86;20.55;2.33;23;22;19;22;1;2;0;1;0;1;3;1;0;1;1;1;3;1;1;0;0;2;30;;4;1;0;-1;0.8;2.2174;0.80941;2.9659;0.90401;1.7105;0.60244;1.6477;0.61557;;;;;;;;;;;;;;4;4;0;24;0;NA;0;0;1;1;0;0;1
69;;Krill;2008;69;Y;CH;20130216;NA;NA;-2.088408345;0.051938863;NA;NA;-2.106735996;0.051823963;NA;NA;NA;NA;NA;NA;NA;NA;-0.562004723;0.034940543;NA;NA;-0.566936817;0.034525983;NA;NA;NA;NA;NA;NA;2;0;0;0.394957983;119;32.49;11.63;;59.5;;59.5;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;60;;2;1;2;1;NA;;;3.45;1.64;;;6.37;1.05;;1;0;1;;;;5.78;1.72;;;6.65;1.3;5;18;0;108;1;0;;;;;;;
71;;Williams;2000;197;Y;CH;20130317;NA;NA;-0.787476612;0.005927545;NA;NA;-0.78855981;0.005917373;NA;NA;NA;NA;NA;NA;NA;NA;-1.434315172;0.006909199;NA;NA;-1.436288117;0.006901728;NA;NA;NA;NA;NA;NA;NA;0;0;0.36;732;NA;NA;;335;;397;1;5;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;0;30;1;1;1;1;-1;NA;;;19.47;5.54;;;14.98;5.81;;1;1;-1;;;;44.75;12.76;;;27.73;11;7;8;0;48;1;0;;;;;;;0
72;1;Segovia;2012;91;Y;CH;20130220;-1.886800605;0.320536978;-1.613775194;0.094680986;0.770321694;0.076726746;0.135042167;0.134302698;-1.710673843;0.18623428;1.087107875;0.155080682;-0.736053529;0.143651598;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0.446428571;56;NA;NA;14;14;14;14;1;2;0;1;0;1;3;1;1;1;1;1;2;-1;-1;0;0;2;40;;NA;4;0;-1;NA;8.28;5.63;2.83;3.93;1.1;1.16;3.39;4.1;;;;;;;;;;;;;;1;1;0;6;0;NA;0;0;1;1;0;0;
73;1;Williams;2000;197;Y;CH;20130317;-0.204528587;0.146519754;-0.709956857;0.038379749;0.042985669;0.036909919;-0.262497789;0.061479131;-0.428564945;0.085040623;0.112804824;0.076581021;-0.087910949;0.067846297;-0.984427412;0.151948018;-0.910901713;0.03984688;0.007973148;0.036901882;-1.006122223;0.068849262;0.033650592;0.083098756;-0.512731462;0.078941103;-0.48180413;0.069780839;NA;0;0;0.33;111;NA;NA;21;32;26;32;1;4;0;1;0;1;3;1;0;1;1;1;2;-1;0;0;0;1;10;;1;5;0;-1;NA;28.57;35.41;25;28.08;15.38;25.35;17.71;26.75;;1;2;1;;3.9;2.48;2.81;1.8;3.81;2.74;5.13;2.67;2;6;0;36;1;1;0;0;1;1;1;0;
74;;Knowles;2012;198;Y;CH;20130323;NA;NA;-0.591213996;0.06957945;NA;NA;-0.60198422;0.067904885;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;60;NA;NA;;30;;30;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;;NA;5;0;-1;NA;;;1.8333;1.44039;;;1;1.28654;;;;;;;;;;;;;;1;3;0;18;0;NA;;;;;;;0
75;1;Aydin;2012;84;Y;CH;20130220;-1.191936974;0.2390935;-0.809125099;0.063688308;0.426313224;0.060210804;-0.952614912;0.12967821;0.195790931;0.10941529;0.812465191;0.125930097;-0.37183162;0.110842785;0.723247609;0.228618514;-0.309963261;0.059580909;1.148435625;0.068572285;-0.402443406;0.118382536;0.309487085;0.110235978;1.069639746;0.133263877;-0.30575499;0.110203176;2;0;0;0.264705882;68;22.67;2.24;18;15;17;18;1;2;0;1;0;1;3;1;0;1;1;1;3;1;1;0;0;2;30;;NA;1;0;1;0.88;5.33;1;4.4;1.24;5.11;1.19;5.55;1.12;;1;0;-1;0.77;1.5;0.58;2.51;1.21;1.7;0.68;2.01;1.21;7;37;0;222;1;1;0;1;1;0;0;1;0
