Unique_study_nr;Moderator;First_author;Year;Paper_nr;Usability;Coder;Date_coded;int_T1;int_svar_T1;ostr_main_T1;ostr_main_svar_T1;mod_main_T1;mod_main_svar_T1;ostr_nomod_simple_main_T1;ostr_nomod_simple_main_svar_T1;ostr_mod_simple_main_T1;ostr_mod_simple_main_svar_T1;mod_ostr_simple_main_T1;mod_ostr_simple_main_svar_T1;mod_incl_simple_main_T1;mod_incl_simple_main_svar_T1;int_T2;int_svar_T2;ostr_main_T2;ostr_main_svar_T2;mod_main_T2;mod_main_svar_T2;ostr_nomod_simple_main_T2;ostr_nomod_simple_main_svar_T2;ostr_mod_simple_main_T2;ostr_mod_simple_main_svar_T2;mod_ostr_simple_main_T2;mod_ostr_simple_main_svar_T2;mod_incl_simple_main_T2;mod_incl_simple_main_svar_T2;Country;Incentive;SampleRestrict;PropSex;N;AgeM;AgeSD;n11;n12;n21;n22;SubjectDesign;ConditionDesign;Dichotomized;ConditionAssignment;Part_Quasi;GameType;PlayersGame;ObjectExcl;PlayerMatching;Excluder;ExclusionSess;FormExcluded;CrossCutVar;ModType;OrderCyberCross;ParticSelect;RandomDV;xReceive;ThrowLast;SelFinal1;NeedScale;Dvfirst;Needs1;Expect1;Reliability1;M11_1;SD11_1;M12_1;SD12_1;M21_1;SD21_1;M22_1;SD22_1;SelFinal2;Dvlast;Needs2;Expect2;Reliability2;M11_2;SD11_2;M12_2;SD12_2;M21_2;SD21_2;M22_2;SD22_2;Nr_of_measures;Item_number;Add_time;Time_est;H1_incl;H2_incl;Model_immediate;Paper_immediate;Model_delayed;Paper_delayed;Imm_Need_thr_aanwezig;Prec_mancheck;Prec_mancheck
10;1;Webb;NA;177;Y;CH;20130121;0.025055388;0.102530629;-1.778932538;0.032850096;-0.526163145;0.024346927;-0.909078182;0.050690251;-0.863765267;0.051840377;-0.243331045;0.045781834;-0.294792253;0.04836521;0.042567599;0.094911917;-0.744932982;0.025174578;-0.534514941;0.024372981;-0.378414913;0.046718011;-0.365353554;0.048193906;-0.345314978;0.046126848;-0.333447678;0.048511505;2;0;0;NA;170;NA;NA;47;40;37;46;1;2;0;1;0;1;3;1;0;1;1;1;3;1;-1;0;0;1;30;;NA;1;0;1;0.9;4.2;1.38;4.53;1.3;5.28;1.03;5.58;0.99;;1;2;1;0.93;4.12;1.05;4.46;0.88;4.49;0.94;4.79;0.85;5;41;0;246;1;1;1;0;0;0;0;0;0
12;;Bastian;2010;4;Y;CH;20130122;NA;NA;-2.706577923;0.106427528;NA;NA;-2.74702747;0.10673624;NA;NA;NA;NA;NA;NA;NA;NA;-1.398804583;0.069143432;NA;NA;-1.419709583;0.068329402;NA;NA;NA;NA;NA;NA;2;1;0;0.361111111;72;19.21;4.25;;36;;36;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;50;;2;1;2;1;0.83;;;1.5;0.9;;;4;0.9;;5;0;1;0.78;;;2.8935;1.07656;;;4.3009;0.87362;6;24;0;144;1;0;;;;;;;
13;;Bernstein;2012;5;Y;CH;20130122;NA;NA;-0.38661848;0.169780705;NA;NA;-0.407300449;0.157704903;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;0.442307692;24;NA;NA;;12;;12;1;2;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;47;;NA;1;0;1;NA;;;-0.42;0.91;;;-0.024;0.96;;;;;;;;;;;;;;1;1;0;6;0;NA;;;;;;;
14;;Boyes;2009;10;Y;CH;20130123;NA;NA;-0.428897586;0.04598294;9.225765777;NA;-0.43400776;0.045215666;NA;NA;NA;NA;NA;NA;NA;NA;-0.792249726;0.048475673;12.47153761;NA;-0.801689121;0.047768154;NA;NA;NA;NA;NA;NA;2;0;1;0.471910112;89;20.44;6.48;;45;;44;1;2;1;1;1;1;3;1;0;1;1;1;3;-1;-1;0;0;2;40;;NA;1;0;1;0.7605;;;19.69;4.32;;;21.61;4.45;;1;2;1;0.8415;;;26.13;4.91;;;29.7;3.84;4;13;0;78;1;0;;;;;;;
15;;Boyes;2009;10;Y;CH;20130121;NA;NA;-0.193147237;0.046197488;6.589600631;NA;-0.195504748;0.045373001;NA;NA;NA;NA;NA;NA;NA;NA;-0.829059191;0.049933312;10.34686103;NA;-0.8391785;0.049200578;NA;NA;NA;NA;NA;NA;2;0;1;0.264367816;87;19.42;3.84;;43;;44;1;2;0;1;1;1;3;1;0;1;1;1;3;-1;-1;0;0;2;40;;NA;1;0;1;0.788;;;43.88;12.7;;;46.53;14.11;;1;2;1;0.9125;;;63.43;20;;;78.53;15.42;4;13;0;78;1;0;;;;;;;
16;;Carter-Sowell;2008;11;Y;CH;20130124;NA;NA;-2.815188636;0.122502208;NA;NA;-2.862185014;0.12304455;NA;NA;NA;NA;NA;NA;NA;NA;-1.456949449;0.077866936;NA;NA;-1.481271566;0.076906569;NA;NA;NA;NA;NA;NA;1;1;0;0.48;65;19.8;NA;;32.5;;32.5;1;4;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;1;2;1;1;-1;0.93;;;3.91;0.58;;;2.3;0.53;;1;0;1;;;;2.92;0.48;;;3.55;0.35;5;16;0;96;1;NA;;;;;;;
17;1;Carter-Sowell;2010;134;Y;CH;20130124;-1.225694676;0.326026394;-4.215850919;0.174144588;-1.252633021;0.06465601;-1.60252646;0.137917222;-2.506450763;0.188109173;-0.020514894;0.103218976;-0.974283134;0.116040689;-1.15481904;0.339048008;-4.254596463;0.176362102;-0.942842058;0.060060481;-1.486861912;0.133088401;-2.757395072;0.205959607;0.04905637;0.103245809;-1.018870957;0.11724164;1;1;0;0.666666667;74;19.56;1.22;18.5;18.5;18.5;18.5;1;3;0;1;0;1;3;2;0;1;1;1;3;-1;-1;1;0;1.2;30;;4;1;1;1;0.96;1.46;0.51;1.45;0.44;3.48;0.99;2.56;0.85;;1;0;1;0.96;1.83;0.54;1.86;0.65;3.61;0.71;2.88;0.69;6;20;0;120;1;1;1;1;0;0;1;0;0
18;;Chernyak;2010;12;Y;CH;20130125;NA;NA;-1.486175966;0.100115646;NA;NA;-1.518573876;0.098572746;NA;NA;NA;NA;NA;NA;NA;NA;0.149731932;0.078681339;NA;NA;0.152996015;0.076193738;NA;NA;NA;NA;NA;NA;1;0;0;0.460526316;76;NA;NA;;25;;26;1;5;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;12;60;;2;1;2;1;NA;;;2.24;0.78;;;3.61;0.98;;1;0;-1;0.88;;;1.4;0.42;;;1.46;0.35;6;27;0;162;1;0;;;;;;;
19;;Coyne;2011;13;Y;CH;20130125;NA;NA;-0.541226306;0.103661574;NA;NA;-0.556764172;0.099723037;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;1;0.45;40;NA;NA;;20;;20;1;1;0;1;0;1;3;1;0;1;1;1;0;0;NA;0;0;2;30;;NA;5;0;1;NA;;;1.11;0.93;;;1.83;1.53;;;;;;;;;;;;;;1;25;0;150;0;0;;;;;;;
20;;Geniole;2011;17;Y;CH;20130125;NA;NA;0.191251067;0.063926657;NA;NA;0.194554258;0.062322384;NA;NA;NA;NA;NA;NA;NA;NA;-0.111647993;0.063735294;NA;NA;-0.11357632;0.062124354;NA;NA;NA;NA;NA;NA;2;0;1;1;74;19.96;2.43;;30;;33;1;1;0;1;0;1;4;1;1;1;2;1;0;0;NA;0;0;7;100;;NA;1;0;-1;NA;;;7.42;2.7;;;7.92;2.38;;2;0;-1;;;;6.77;2.56;;;6.52;1.75;2;6;0;36;1;0;;;;;;;
